名称,详情页链接,评分,评论数,信息,图片链接
徐州园博园,https://you.ctrip.com/sight/xuzhou230/135927956.html,4.4,(163),江苏省徐州市铜山区吕梁互通连接线徐州园博园1号门,https://dimg04.c-ctrip.com/images/0101g12000a5ctcj22169_C_220_140.jpg
徐州圣旨博物馆,https://you.ctrip.com/sight/xuzhou230/133846.html,4.6,(87),鼓楼区襄王北路3号,https://dimg04.c-ctrip.com/images/0106712000ifxr61812A5_C_220_140.jpg
潘安湖国家湿地公园,https://you.ctrip.com/sight/xuzhou230/1409776.html,4.1,(244),徐州市贾汪区潘安路,https://dimg04.c-ctrip.com/images/0102p1200083xpkt3A2D9_C_220_140.jpg
徐州欧乐堡童话世界,https://you.ctrip.com/sight/xuzhou230/139042160.html,3.6,(27),江苏省徐州市鼓楼区九里山东路79号徐州欧乐堡童话世界,https://dimg04.c-ctrip.com/images/1lo1x12000b9vw2p03196_C_220_140.jpg
清明上河园,https://you.ctrip.com/sight/xuzhou230/145461839.html,5,(2),徐州市鼓楼区奔腾大道山南小镇-B区,https://dimg04.c-ctrip.com/images/0102612000irs2ebb0A81_C_220_140.png
汉兵马俑博物馆,https://you.ctrip.com/sight/xuzhou230/143867.html,4.4,(138),江苏省徐州市云龙区骆驼山街道兵马俑路1号,https://dimg04.c-ctrip.com/images/0100v12000ijhqegf39E4_C_220_140.jpg
徐州开元森泊焕境乐园,https://you.ctrip.com/sight/xuzhou230/148460612.html,3.2,(6),徐州市泉山区湖西路1号,https://dimg04.c-ctrip.com/images/1lo5n12000f0r7biw2473_C_220_140.jpg
乾隆行宫(和平路),https://you.ctrip.com/sight/xuzhou230/144210917.html,4.4,(5),江苏省徐州市云龙区和平路118号,https://dimg04.c-ctrip.com/images/0106012000ijy9hzoEB6C_C_220_140.jpg
彭祖园,https://you.ctrip.com/sight/xuzhou230/116609.html,4.6,(112),江苏省徐州市泉山区泰山路21号,https://dimg04.c-ctrip.com/images/0103u12000j6fzimtC219_C_220_140.jpg
户部山古建筑群,https://you.ctrip.com/sight/xuzhou230/133862.html,4.4,(172),江苏省徐州市云龙区彭城街道户部茶街1号,https://dimg04.c-ctrip.com/images/0104q120009dn7uvl60E0_C_220_140.jpg
中国国家地理《探索 极致发现》科学艺术影像展,https://you.ctrip.com/sight/xuzhou230/150067749.html,5,(1),和平大道与东三环快速路交汇处(黄山垅地铁站旁)爱琴海购物中心五楼,https://dimg04.c-ctrip.com/images/0100q12000j5xuotg992B.webp
彭城广场,https://you.ctrip.com/sight/xuzhou230/1832882.html,4.6,(29),江苏省徐州市鼓楼区中山北路2号,https://dimg04.c-ctrip.com/images/0102x120008k0ld5qCFFD_C_220_140.jpg
艾山风景名胜区,https://you.ctrip.com/sight/pizhou1560/139470.html,4.4,(288),江苏省徐州市邳州市铁富镇G310与邳铁线交汇处,https://dimg04.c-ctrip.com/images/0103l12000833loip57E0_C_220_140.jpg
徐州民俗博物馆,https://you.ctrip.com/sight/xuzhou230/133847.html,4.5,(83),江苏省徐州市云龙区户部山崔家巷2号,https://dimg04.c-ctrip.com/images/0101g120008k0mmqu5B43_C_220_140.jpg
泰山,https://you.ctrip.com/sight/xuzhou230/145367448.html,5,(3),江苏省徐州市泉山区泰山路与金山东路交叉口东北150米,https://dimg04.c-ctrip.com/images/0106t12000k9hhsgxBBEB_C_220_140.jpg
徐州 · 【肆笑喜剧】丨爆笑脱口秀,https://you.ctrip.com/sight/xuzhou230/149650426.html,无评分,(暂无点评),江苏省徐州市徐州市鼓楼区金地商都一期四层033商铺,https://dimg04.c-ctrip.com/images/0105z12000h45plbsA415_C_220_140.jpg
壹捌夜市,https://you.ctrip.com/sight/xuzhou230/112648048.html,4.5,(2),江苏省徐州市鼓楼区黄楼街道中山北路8号,https://dimg04.c-ctrip.com/images/0100g120009yw81j73169_C_220_140.jpg
刘邦故里文化景区,https://you.ctrip.com/sight/fengcounty3080/145366990.html,5,(1),江苏省徐州市丰县518国道赵庄镇金刘寨村汉皇祖陵内(南侧),https://dimg04.c-ctrip.com/images/0105w12000f4e9ahm081D_C_220_140.jpg
水下兵马俑馆,https://you.ctrip.com/sight/xuzhou230/98281800.html,4,(6),徐州市云龙区兵马俑路1号,https://dimg04.c-ctrip.com/images/0101x120008bwacwx37A6_C_220_140.jpg
徐州动物园,https://you.ctrip.com/sight/xuzhou230/116593.html,4.2,(79),徐州市泉山区泰山路21-1号,https://dimg04.c-ctrip.com/images/0102912000b8ckk3e4BFB_C_220_140.jpg
徐州小桂林,https://you.ctrip.com/sight/xuzhou230/136059561.html,1,(1),江苏省徐州鼓楼区中山北路九里山高尔夫球场院内,https://dimg04.c-ctrip.com/images/1me1o12000al0ypfs7B83_C_220_140.png
茱萸山滑雪场,https://you.ctrip.com/sight/xuzhou230/5701473.html,4.7,(11),江苏省徐州市贾汪区茱萸路茱萸欢乐谷旁边,https://dimg04.c-ctrip.com/images/01030120008f32lzcB114_C_220_140.jpg
徐州督公山滑雪乐园,https://you.ctrip.com/sight/xuzhou230/1494077.html,4.3,(136),江苏省徐州市贾汪区徐州东城绕越高速督公湖风景区内,https://dimg04.c-ctrip.com/images/100510000000pz8075D90_C_220_140.jpg
墨上集·拾光影城,https://you.ctrip.com/sight/xuzhou230/5718333.html,3.8,(10),江苏省徐州市贾汪区龙山路与山水大道交汇处北墨上集,https://dimg04.c-ctrip.com/images/0100f12000f6rqo96B01A_C_220_140.jpg
徐州启迪乔波冰雪世界,https://you.ctrip.com/sight/xuzhou230/134112323.html,4.5,(10),江苏省徐州市云龙区翠屏山街道和平大道118号万科新淮中心F1,https://dimg04.c-ctrip.com/images/0EQ6n12000dlry2aw1DF1_C_220_140.jpg
点石园石刻艺术馆,https://you.ctrip.com/sight/xuzhou230/3149685.html,4.6,(27),徐州市鼓楼区襄王北路3号,https://dimg04.c-ctrip.com/images/1003190000017a94g8F96_C_220_140.jpg
徐州吕梁风景区,https://you.ctrip.com/sight/xuzhou230/69200367.html,4.6,(5),徐州市铜山区X309,https://dimg04.c-ctrip.com/images/0101c12000ihyzhfr4EFE_C_220_140.jpg
徐州轮胎乐园,https://you.ctrip.com/sight/xuzhou230/5622366.html,4.8,(22),徐州市铜山区汉王镇纪信路轮胎乐园（月亮湾马术俱乐部隔壁）,https://dimg04.c-ctrip.com/images/350n1700000120paa279D_C_220_140.jpg
徐州园博园涵田度假村温泉,https://you.ctrip.com/sight/xuzhou230/135462203.html,4,(8),江苏省徐州市铜山区309县道崔贺庄水库管理所隔壁（吕梁风景区内）,https://dimg04.c-ctrip.com/images/0EQ5712000db5bqkyDB73_C_220_140.jpg
小南湖,https://you.ctrip.com/sight/xuzhou230/1834585.html,4.8,(98),江苏省徐州市泉山区金山南路徐州云龙湖风景区内,https://dimg04.c-ctrip.com/images/0101c1200067smopm3D38_C_220_140.jpg
徐州蟠桃山佛教文化景区,https://you.ctrip.com/sight/xuzhou230/70520.html,4.6,(163),鼓楼区经济技术开发区宝莲寺路5号,https://dimg04.c-ctrip.com/images/0101i12000f6sgevj6B80_C_220_140.jpg
沛县汉城景区,https://you.ctrip.com/sight/peicounty3075/17381.html,4.3,(104),汉城南路1号,https://dimg04.c-ctrip.com/images/100s1f000001gx7pqDE3F_C_220_140.jpg
徐州百乐汤汗蒸汤泉,https://you.ctrip.com/sight/xuzhou230/134384722.html,5,(4),江苏省徐州市鼓楼区环城路63号和信广场三期G座B1层商铺,https://dimg04.c-ctrip.com/images/01018120009pkwe1kD8C4_C_220_140.jpg
徐州金龙湖风景区,https://you.ctrip.com/sight/xuzhou230/116640.html,4.9,(95),江苏省徐州经济开发区龙湖西路与龙湖南路交叉口东北角,https://dimg04.c-ctrip.com/images/01059120008k0n7d996FF_C_220_140.jpg
沛县博物馆,https://you.ctrip.com/sight/peicounty3075/5702898.html,4.9,(10),江苏省徐州市沛县汉邦路7号,https://dimg04.c-ctrip.com/images/0100s12000f6tifc1AD45_C_220_140.jpg
